Title,Author,First Publish Year,Edition Count
Frankenstein or The Modern Prometheus,Mary Shelley,1818,2183
Brave New World,Aldous Huxley,1883,675
De rerum natura,Titus Lucretius Carus,1486,537
Le Tour du Monde en Quatre-Vingts Jours,Jules Verne,1872,425
The Invisible Man,H. G. Wells,1897,416
Houghton Mifflin Science California,Houghton Mifflin Company Staff,2006,301
History,Herodotus,1494,282
Houghton Mifflin Science Leveled Readers,Houghton Mifflin Company Staff,2005,242
"[William Wheeler Hubbell, authorized to apply for patents.]",United States. Congress. Senate. Committee on Patents,1858,241
The Island of Dr. Moreau,H. G. Wells,1896,230
